k, flow, paths, time
5,71, 4426, 89491
5,89, 4460, 99498
5,68, 4490, 77694
5,66, 4517, 58204
5,71, 4542, 76390
5,79, 4572, 65659
5,38, 4588, 31889
5,60, 4613, 62864
5,75, 4644, 83241
5,28, 4656, 30528
5,63, 4679, 55142
5,37, 4696, 37025
5,74, 4726, 71333
5,58, 4749, 54979
5,51, 4770, 58137
6,177, 4820, 227205
6,116, 4855, 149122
6,139, 4898, 149972
6,194, 4955, 250676
6,134, 4998, 184660
6,185, 5057, 252741
6,162, 5104, 191691
6,145, 5150, 178238
6,167, 5194, 210618
6,132, 5235, 144182
6,132, 5274, 143971
6,157, 5321, 183724
6,179, 5374, 221509
6,180, 5420, 192166
6,208, 5477, 216334
6,187, 5533, 219880
6,164, 5584, 190709
6,199, 5640, 209317
6,216, 5694, 197282
6,166, 5738, 154360
6,174, 5795, 257527
6,184, 5850, 241435
6,188, 5905, 227669
6,181, 5952, 199984
6,216, 6012, 263015
6,150, 6054, 158098
6,212, 6116, 522804
6,186, 6176, 222855
6,199, 6223, 168283
6,147, 6260, 151914
6,159, 6304, 217693
6,147, 6348, 255624
6,169, 6400, 219313
6,182, 6459, 216675
6,150, 6503, 194024
6,151, 6546, 194420
6,94, 6581, 183363
6,203, 6629, 188560
6,178, 6682, 213666
6,168, 6733, 222957
6,212, 6796, 210429
6,184, 6851, 221096
6,142, 6893, 162170
6,192, 6946, 180783
6,147, 6988, 164091
6,222, 7054, 287988
6,152, 7100, 172361
6,232, 7167, 251619
6,116, 7211, 170242
6,208, 7269, 273993
6,192, 7324, 228185
6,109, 7351, 106257
6,192, 7404, 208314
6,182, 7460, 240010
6,70, 7485, 98980
6,189, 7542, 220498
6,151, 7582, 181234
6,148, 7621, 147078
6,147, 7666, 197602
6,118, 7698, 114818
6,131, 7738, 165720
6,195, 7796, 214558
6,147, 7835, 176473
6,204, 7900, 235235
6,147, 7947, 188144
6,182, 7999, 226370
6,229, 8058, 210551
6,153, 8097, 150633
6,179, 8147, 238683
6,178, 8193, 162974
6,164, 8241, 198006
6,174, 8294, 269462
6,194, 8348, 226688
6,198, 8401, 208858
6,162, 8440, 165236
6,142, 8488, 210837
6,176, 8540, 244937
6,167, 8586, 157865
6,145, 8625, 124608
6,200, 8671, 143737
6,154, 8730, 178159
6,223, 8796, 219564
6,130, 8840, 148312
6,113, 8883, 140771
6,142, 8930, 152497
6,220, 8995, 202904
6,176, 9049, 211130
6,158, 9098, 168041
6,136, 9143, 149184
6,148, 9186, 136679
6,84, 9211, 78357
6,152, 9260, 191493
6,144, 9302, 145048
6,128, 9336, 106829
6,163, 9376, 129304
6,179, 9423, 304823
6,230, 9484, 467588
6,174, 9529, 207751
6,125, 9566, 201705
6,119, 9600, 136221
7,392, 9693, 660951
7,465, 9803, 767420
7,290, 9876, 611270
7,343, 9972, 721953
7,520, 10096, 857492
7,351, 10182, 715081
7,427, 10281, 777474
7,469, 10396, 921522
7,375, 10483, 626919
7,312, 10554, 540901
7,403, 10652, 719005
7,228, 10704, 465853
7,325, 10776, 596279
7,323, 10852, 440492
7,347, 10934, 453896
7,323, 11014, 448999
7,480, 11140, 749369
7,265, 11208, 394313
7,209, 11262, 517941
7,355, 11353, 721531
7,341, 11431, 487850
7,456, 11538, 768261
7,444, 11640, 668688
7,476, 11749, 736695
7,388, 11845, 682424
7,440, 11950, 722763
7,503, 12075, 851906
7,252, 12134, 395980
7,400, 12235, 686481
7,446, 12340, 689199
7,356, 12427, 679901
7,400, 12524, 662621
7,541, 12653, 726659
7,453, 12761, 623743
7,427, 12857, 599810
7,472, 12967, 603961
7,281, 13029, 533608
7,491, 13150, 872698
7,379, 13237, 578354
7,327, 13308, 441217
7,417, 13408, 686644
7,400, 13509, 820469
7,448, 13623, 824815
7,300, 13695, 490221
7,379, 13784, 600541
7,207, 13830, 322548
7,327, 13906, 553546
7,407, 14003, 742431
7,577, 14141, 954050
7,307, 14221, 668148
7,376, 14311, 668112
7,522, 14440, 772553
7,399, 14540, 653782
7,425, 14643, 609829
7,355, 14734, 549827
7,301, 14795, 583288
7,450, 14893, 712560
7,420, 14991, 661403
7,388, 15083, 683342
7,339, 15164, 563010
7,335, 15237, 527878
7,337, 15314, 485745
7,484, 15430, 799155
7,351, 15519, 804086
7,248, 15582, 438367
7,411, 15692, 728778
7,468, 15803, 801133
7,372, 15897, 641247
7,496, 16010, 717498
7,540, 16151, 981920
7,493, 16260, 643294
7,388, 16348, 504065
7,404, 16440, 547005
7,541, 16560, 897253
7,459, 16676, 901809
7,498, 16790, 835824
7,388, 16878, 599959
7,424, 16983, 693975
7,353, 17056, 554321
7,406, 17148, 668217
7,505, 17261, 778223
7,355, 17340, 560733
7,387, 17436, 691546
7,343, 17518, 631626
7,354, 17610, 704464
7,400, 17712, 776339
7,448, 17820, 834842
7,463, 17932, 776101
7,421, 18028, 744250
7,277, 18093, 517557
7,485, 18201, 716434
7,430, 18308, 837787
7,453, 18414, 847948
7,433, 18515, 610184
7,299, 18584, 706427
7,398, 18685, 1003380
7,408, 18783, 902246
7,494, 18904, 868624
7,547, 19033, 993240
7,400, 19128, 623496
8,1038, 19299, 2272809
8,1067, 19481, 2323622
8,690, 19605, 1618714
8,801, 19744, 1926268
8,878, 19898, 1952135
8,779, 20031, 1685479
8,1083, 20217, 2552292
8,940, 20378, 1592536
8,711, 20511, 1738399
8,1047, 20682, 2125576
8,839, 20838, 2056604
8,727, 20965, 1634566
8,872, 21111, 1870345
8,882, 21264, 1831374
8,926, 21430, 2617153
8,876, 21593, 2167150
8,1160, 21787, 3618752
8,1073, 21973, 2604580
8,1208, 22203, 2637342
8,881, 22349, 2072463
8,998, 22511, 2344006
8,821, 22648, 1955367
8,924, 22793, 1999657
8,954, 22941, 2090778
8,1171, 23143, 2170638
8,819, 23294, 1878131
8,947, 23461, 2246279
8,925, 23608, 2054100
8,792, 23748, 2060223
8,926, 23893, 1863982
8,858, 24044, 1883693
8,650, 24153, 1552567
8,913, 24306, 1906839
8,759, 24435, 1438840
8,846, 24568, 1803121
8,708, 24689, 1648846
8,741, 24809, 1290576
8,778, 24939, 1484022
8,1158, 25128, 2548657
8,868, 25276, 2033206
8,1076, 25456, 2498103
8,1365, 25678, 2701766
8,1179, 25865, 2135875
8,1132, 26054, 2521719
8,1137, 26232, 2547640
8,1061, 26414, 2299107
8,1273, 26637, 2439266
8,974, 26805, 2256039
8,956, 26955, 1928677
8,1169, 27142, 2207263
8,1086, 27311, 2015103
8,1481, 27543, 2658929
8,891, 27702, 1851501
8,872, 27854, 2093493
8,1111, 28061, 2708774
8,886, 28196, 1515872
8,897, 28357, 1941000
8,944, 28525, 2089834
8,826, 28664, 2029052
8,1102, 28852, 2219124
8,979, 29020, 2034908
8,730, 29158, 1862567
8,1230, 29383, 2849765
8,706, 29503, 1885760
8,868, 29656, 1906136
8,678, 29780, 1566889
8,518, 29877, 1081103
8,831, 30017, 1796435
8,800, 30159, 1687015
8,708, 30287, 1641738
8,1165, 30492, 2538698
8,1105, 30666, 1939433
8,1213, 30872, 2533941
8,1356, 31131, 3156876
8,1082, 31320, 2445764
8,1051, 31495, 2161243
8,1041, 31646, 1828592
8,991, 31805, 1917422
8,895, 31952, 1910598
8,1110, 32146, 2320030
8,810, 32272, 1768988
8,505, 32360, 1163559
8,1019, 32535, 2155696
8,719, 32657, 1390587
8,677, 32777, 1491498
8,1058, 32960, 2185298
8,951, 33124, 2352487
8,871, 33267, 1876793
8,628, 33369, 1223643
8,967, 33520, 1963404
8,1439, 33758, 2679355
8,958, 33915, 2105879
8,922, 34058, 1838750
8,884, 34203, 1769079
8,944, 34358, 1884265
8,1146, 34554, 2486153
8,852, 34707, 1639545
8,876, 34849, 1797017
8,1146, 35047, 2526998
8,1024, 35207, 1966072
9,2359, 35543, 9039515
9,1942, 35799, 6278555
9,1611, 36024, 5129250
9,2413, 36339, 7010171
9,2233, 36640, 7665154
9,1793, 36867, 5341577
9,1471, 37064, 4713559
9,1921, 37318, 5573900
9,1896, 37570, 5502676
9,1427, 37764, 4692487
9,2218, 38070, 6516473
9,2287, 38386, 7999201
9,2271, 38694, 7345458
9,1323, 38877, 4237093
9,1545, 39079, 4901688
9,1340, 39259, 3805624
9,1736, 39490, 4903328
9,1773, 39735, 7605216
9,2188, 40019, 6603967
9,2071, 40287, 5900552
9,2324, 40594, 7320292
9,1874, 40858, 6829812
9,2017, 41135, 6933280
9,2417, 41434, 7305034
9,1462, 41640, 4558623
9,2028, 41917, 5845558
9,1857, 42174, 6385927
9,1884, 42437, 6121957
9,2676, 42784, 7574309
9,2376, 43116, 7030328
9,1376, 43305, 4221805
9,2152, 43595, 7753224
9,1832, 43841, 5448943
9,2152, 44117, 6138795
9,1805, 44374, 6224705
9,2577, 44703, 8337827
9,2329, 45041, 8322813
9,2570, 45398, 9996569
9,2543, 45739, 7791989
9,1320, 45931, 4802302
9,2335, 46238, 7549606
9,1736, 46469, 5180554
9,1870, 46736, 7115318
9,2042, 47004, 6568704
9,2503, 47355, 8478151
9,2778, 47725, 8638904
9,2422, 48050, 7470221
9,2038, 48334, 6763300
9,2726, 48726, 9344358
9,2771, 49106, 8518455
9,1940, 49369, 6360710
9,2190, 49665, 6504559
9,2514, 50025, 7799264
9,2498, 50360, 7250584
9,1766, 50601, 5873694
9,1627, 50832, 4874550
9,2138, 51115, 7002312
9,2808, 51497, 8225703
9,2241, 51798, 6364222
9,1215, 51966, 4102395
9,1620, 52184, 4737860
9,2039, 52458, 6182485
9,2089, 52743, 6755916
9,1885, 52991, 5581891
9,1103, 53134, 3605034
9,1576, 53336, 4402724
9,2583, 53677, 8195987
9,1642, 53897, 4702678
9,2243, 54206, 7996371
