k, flow, paths, time
6,168, 51, 104788
6,212, 63, 123951
6,184, 55, 112011
6,142, 42, 81952
6,192, 53, 101360
6,147, 42, 84775
6,222, 66, 127770
6,152, 46, 93739
6,232, 67, 155994
6,116, 44, 86377
6,208, 58, 120536
6,192, 55, 118472
6,109, 27, 53111
6,192, 53, 106857
6,182, 56, 110675
6,70, 25, 44524
6,189, 57, 117976
6,151, 40, 76856
6,148, 39, 81200
6,147, 45, 92114
6,118, 32, 66494
6,131, 40, 74715
6,195, 58, 110624
6,147, 39, 75214
6,204, 65, 122225
6,147, 47, 97829
6,182, 52, 108202
6,229, 59, 135965
6,153, 39, 77839
6,179, 50, 102479
6,178, 46, 95308
6,164, 48, 101903
6,174, 53, 110430
6,194, 54, 117374
6,198, 53, 105970
6,162, 39, 79349
6,142, 48, 128353
6,176, 52, 100178
6,167, 46, 94018
6,145, 39, 72046
6,200, 46, 88729
6,154, 59, 106543
6,223, 66, 137131
6,130, 44, 82320
6,113, 43, 91333
6,142, 47, 90696
6,220, 65, 115628
6,176, 54, 96527
6,158, 49, 94950
6,136, 45, 89751
6,148, 43, 85612
6,84, 25, 48875
6,152, 49, 326902
6,144, 42, 146677
6,128, 34, 68515
6,163, 40, 82946
6,179, 47, 96768
6,230, 61, 121973
6,174, 45, 85742
6,125, 37, 68456
6,119, 34, 66232
7,392, 93, 373678
7,465, 110, 375578
7,290, 73, 242750
7,343, 96, 331640
7,520, 124, 406503
7,351, 86, 280472
7,427, 99, 332355
7,469, 115, 404035
7,375, 87, 304879
7,312, 71, 276250
7,403, 98, 343456
7,228, 52, 189680
7,325, 72, 267305
7,323, 76, 265695
7,347, 82, 271986
7,323, 80, 268518
7,480, 126, 756719
7,265, 68, 252608
7,209, 54, 189089
7,355, 91, 320745
7,341, 78, 244355
7,456, 107, 361935
7,444, 102, 366360
7,476, 109, 373955
7,388, 96, 360423
7,440, 105, 367215
7,503, 125, 436089
7,252, 59, 187395
7,400, 101, 371955
7,446, 105, 366023
7,356, 87, 304235
7,400, 97, 331299
7,541, 129, 440284
7,453, 108, 375856
7,427, 96, 862554
7,472, 110, 649833
7,281, 62, 395310
7,491, 121, 737376
7,379, 87, 552723
7,327, 71, 418001
7,417, 100, 685049
7,400, 101, 717939
7,448, 114, 721998
7,300, 72, 460880
7,379, 89, 572159
7,207, 46, 340750
7,327, 76, 558336
7,407, 97, 709994
7,577, 138, 859385
7,307, 80, 555195
7,376, 90, 619284
7,522, 129, 874422
7,399, 100, 705609
7,425, 103, 1239257
7,355, 91, 315009
7,301, 61, 214553
7,450, 98, 328698
7,420, 98, 313804
7,388, 92, 309312
7,339, 81, 293915
7,335, 73, 237694
7,337, 77, 233152
7,484, 116, 380577
7,351, 89, 350020
7,248, 63, 221634
7,411, 110, 375131
7,468, 111, 373560
7,372, 94, 307516
7,496, 113, 415680
7,540, 141, 501366
7,493, 109, 504638
7,388, 88, 749424
7,404, 92, 759599
7,541, 120, 1057323
7,459, 116, 864881
7,498, 114, 891455
7,388, 88, 758487
7,424, 105, 802212
7,353, 73, 649117
7,406, 92, 733237
7,505, 113, 947387
7,355, 79, 689090
7,387, 96, 628760
7,343, 82, 303621
7,354, 92, 332379
7,400, 102, 347267
7,448, 108, 387066
7,463, 112, 385251
7,421, 96, 323898
7,277, 65, 462655
7,485, 108, 449007
7,430, 107, 369993
